VendorNumber,VendorName,Brand,Description,TotalPurchaseQuantity,TotalPurchaseDollars,PurchasePrice,ActualPrice,Volume,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
480,BACARDI USA INC,540,Bacardi Pineapple Fusion,352.0,253.44,0.72,0.99,50,964.0,954.36,443.52,49.59,89286.27,700.92,73.44398,2.73864,3.76563
480,BACARDI USA INC,1020,B & B Dom VAP,2.0,36.22,18.11,28.99,750,47.0,1174.53,824.67,37.06,89286.27,1138.31,96.91621,23.5,32.42766
480,BACARDI USA INC,2679,Dewars Highlander Honey,226.0,3227.28,14.28,22.99,750,431.0,8615.69,6096.95,339.84,89286.27,5388.41,62.54183,1.90708,2.66964
480,BACARDI USA INC,4042,Bacardi Dragon Berry,233.0,167.76,0.72,0.99,50,739.0,731.61,363.33,37.94,89286.27,563.85,77.06975,3.17167,4.36105
480,BACARDI USA INC,4304,Bacardi Mango Fusion,401.0,316.79,0.79,0.99,50,1042.0,1031.58,462.33,53.72,89286.27,714.79,69.2908,2.5985,3.25635
480,BACARDI USA INC,4379,Bacardi Coconut,170.0,124.1,0.73,0.99,50,1358.0,1344.42,575.19,70.05,89286.27,1220.32,90.76925,7.98824,10.83336
480,BACARDI USA INC,4881,Bacardi Twin Pack 2/750mls,846.0,12529.26,14.81,19.99,750,826.0,16511.74,6676.66,650.67,89286.27,3982.48,24.11908,0.97636,1.31785
480,BACARDI USA INC,4903,Bacardi Superior Rum,3300.0,9471.0,2.87,3.99,200,2477.0,9883.23,3184.02,520.17,89286.27,412.23,4.171,0.75061,1.04353
653,STATE WINE & SPIRITS,9136,Caffo Amaretto Liqueur,217.0,2345.77,10.81,16.99,750,148.0,2354.52,1797.88,116.7,8014.98,8.75,0.37163,0.68203,1.00373
653,STATE WINE & SPIRITS,19656,Manifesto! Chard No Cst,38.0,224.58,5.91,8.99,750,403.0,3622.97,1384.46,44.97,8014.98,3398.39,93.80122,10.60526,16.1322
653,STATE WINE & SPIRITS,23256,Robert Hall Cab Svgn,442.0,4150.38,9.39,13.99,750,895.0,12521.05,4630.69,100.01,8014.98,8370.67,66.85278,2.02489,3.01684
653,STATE WINE & SPIRITS,23257,Jason Stephens Syrah,22.0,205.26,9.33,13.99,750,286.0,4001.14,2420.27,31.77,8014.98,3795.88,94.86996,13.0,19.49303
653,STATE WINE & SPIRITS,23259,Vegan Vines Chard,70.0,428.4,6.12,8.99,750,294.0,2643.06,1303.55,32.71,8014.98,2214.66,83.79151,4.2,6.16961
1128,BROWN-FORMAN CORP,1051,Woodford Reserve MC 1838,13.0,970.06,74.62,99.99,750,13.0,1299.87,1299.87,10.27,68601.68,329.81,25.37254,1.0,1.33999
1128,BROWN-FORMAN CORP,1550,Jack Daniels Tennessee Fire,139.0,404.49,2.91,3.99,100,1035.0,4129.65,2058.84,107.72,68601.68,3725.16,90.20522,7.44604,10.20952
1128,BROWN-FORMAN CORP,2131,Jack Daniels No 7 Black Trav,261.0,2649.15,10.15,12.99,375,739.0,9599.61,5611.68,290.02,68601.68,6950.46,72.40357,2.83142,3.62366
1392,CONSTELLATION BRANDS INC,2689,Black Velvet Reserve,114.0,1678.08,14.72,18.99,1750,180.0,3418.2,2981.43,331.01,79528.99,1740.12,50.9075,1.57895,2.03697
1392,CONSTELLATION BRANDS INC,15812,Diseno Torrontes Salta,26.0,118.04,4.54,11.99,750,21.0,146.79,97.86,2.32,79528.99,28.75,19.5858,0.80769,1.24356
1392,CONSTELLATION BRANDS INC,18000,Vendange Sweet White,12.0,33.0,2.75,6.99,1500,38.0,151.62,107.73,8.47,79528.99,118.62,78.23506,3.16667,4.59455
1439,CAPSTONE INTERNATIONAL,2213,King Robert II Scotch Whisky,4.0,54.64,13.66,26.99,1750,12.0,227.88,94.95,22.05,0.27,173.24,76.02247,3.0,4.17057
1485,CASTLE BRANDS CORP.,8100,Jefferson's Manhattan RTD,23.0,661.71,28.77,39.99,750,27.0,1079.73,759.81,21.29,8497.59,418.02,38.71523,1.17391,1.63173
1587,VINEYARD BRANDS INC,16796,Delamotte Brut,5.0,120.65,24.13,39.99,750,21.0,734.79,314.91,2.34,6070.09,614.14,83.58034,4.2,6.09026
1590,DIAGEO CHATEAU ESTATE WINES,17377,BV Beaurouge Red,106.0,1073.78,10.13,14.99,750,204.0,3057.96,1738.84,22.67,7259.75,1984.18,64.88574,1.92453,2.84785
1590,DIAGEO CHATEAU ESTATE WINES,18571,Sterling Vyd Aromatic White,63.0,409.5,6.5,9.95,750,51.0,509.49,309.69,5.65,7259.75,99.99,19.62551,0.80952,1.24418
2000,SOUTHERN WINE & SPIRITS NE,4453,Pitu Brazilian Rum Cachaca,34.0,365.84,10.76,16.99,750,76.0,1063.24,615.56,59.9,19016.59,697.4,65.59196,2.23529,2.9063
2000,SOUTHERN WINE & SPIRITS NE,23230,High Valley Svgn Bl 13 Lake,41.0,384.99,9.39,13.99,750,265.0,3707.35,1371.02,29.57,19016.59,3322.36,89.61549,6.46341,9.62973
2000,SOUTHERN WINE & SPIRITS NE,23279,Turnbull Syrah 11,86.0,1413.84,16.44,24.99,750,223.0,5572.77,2723.91,24.83,19016.59,4158.93,74.62949,2.59302,3.94158
2555,DISARONNO INTERNATIONAL LLC,1212,DiSaronna Amaretto Sour VAP,563.0,8095.94,14.38,21.99,750,726.0,15794.74,7856.39,571.84,5861.03,7698.8,48.74281,1.28952,1.95095
3252,E & J GALLO WINERY,2101,New Amsterdam Gin,99.0,432.63,4.37,5.99,375,113.0,676.87,515.14,44.26,61966.91,244.24,36.08374,1.14141,1.56455
3252,E & J GALLO WINERY,5373,E&J Peach Brandy,213.0,1591.11,7.47,10.99,750,224.0,2179.26,1702.25,176.59,61966.91,588.15,26.98852,1.05164,1.36965
3252,E & J GALLO WINERY,7344,Viniq Shimmery Liqueur,47.0,363.78,7.74,12.99,375,66.0,725.34,670.39,25.79,61966.91,361.56,49.84697,1.40426,1.9939
3252,E & J GALLO WINERY,14620,Bodega Elena de Mendoza Mlbc,7.0,33.32,4.76,6.99,750,111.0,775.89,363.48,12.37,61966.91,742.57,95.70558,15.85714,23.28601
3960,DIAGEO NORTH AMERICA INC,366,Crown Royal w/2 Glasses,9.0,154.62,17.18,25.99,750,91.0,2001.09,1473.33,71.76,257032.07,1846.47,92.27321,10.11111,12.94199
3960,DIAGEO NORTH AMERICA INC,3917,Smirnoff Peppermint Twist,126.0,99.54,0.79,0.99,50,586.0,580.14,192.06,30.44,257032.07,480.6,82.84207,4.65079,5.82821
3960,DIAGEO NORTH AMERICA INC,5361,Grind Espresso Shot,20.0,15.8,0.79,0.99,50,152.0,150.48,54.45,7.84,257032.07,134.68,89.50027,7.6,9.52405
3960,DIAGEO NORTH AMERICA INC,7851,Piehole Pecan Pie,85.0,67.15,0.79,0.99,50,144.0,142.56,54.45,7.49,257032.07,75.41,52.89703,1.69412,2.12301
3960,DIAGEO NORTH AMERICA INC,8438,Capt Morgan White Grapefruit,526.0,378.72,0.72,0.99,50,400.0,396.0,129.69,20.72,257032.07,17.28,4.36364,0.76046,1.04563
4425,MARTIGNETTI COMPANIES,5911,Faretti Biscotti Liqueur,14.0,267.12,19.08,33.99,750,20.0,517.8,367.86,15.75,144929.24,250.68,48.41251,1.42857,1.93845
4425,MARTIGNETTI COMPANIES,11437,Schug Svgn Bl Sonoma Vly,59.0,633.07,10.73,15.99,750,44.0,703.56,463.71,4.87,144929.24,70.49,10.01905,0.74576,1.11135
4425,MARTIGNETTI COMPANIES,20407,Riondo Blu Prosecco,24.0,223.92,9.33,13.99,750,45.0,633.55,409.71,4.99,144929.24,409.63,64.6563,1.875,2.82936
4425,MARTIGNETTI COMPANIES,21277,Nicholson Ranch Chard Son Ct,213.0,2937.27,13.79,19.99,750,259.0,5177.41,2338.83,28.84,144929.24,2240.14,43.26758,1.21596,1.76266
4425,MARTIGNETTI COMPANIES,21287,Foley Johnson Cab Svgn,118.0,1820.74,15.43,22.99,750,132.0,3034.68,1333.42,14.69,144929.24,1213.94,40.00224,1.11864,1.66673
4425,MARTIGNETTI COMPANIES,21693,Chalk Hill Pnt Nr RRV,77.0,1784.09,23.17,34.99,750,52.0,1819.48,1434.59,5.74,144929.24,35.39,1.94506,0.67532,1.01984
4425,MARTIGNETTI COMPANIES,22509,Alderbrook Pnt Nr RRV,130.0,1569.1,12.07,17.99,750,304.0,5468.96,2878.4,33.79,144929.24,3899.86,71.30899,2.33846,3.48541
4425,MARTIGNETTI COMPANIES,23074,Madrigal Cab Svgn,210.0,2874.9,13.69,19.99,750,333.0,6656.67,2478.76,37.21,144929.24,3781.77,56.81174,1.58571,2.31544
4425,MARTIGNETTI COMPANIES,23075,Madrigal Petite Sirah,28.0,328.16,11.72,16.99,750,141.0,2395.59,1087.36,15.73,144929.24,2067.43,86.3015,5.03571,7.30007
4425,MARTIGNETTI COMPANIES,23076,Madrigal Znfdl,138.0,1253.04,9.08,13.99,750,331.0,4630.69,2000.57,36.92,144929.24,3377.65,72.94053,2.39855,3.69556
4425,MARTIGNETTI COMPANIES,23840,Roth Est Red Heritage Sonoma,172.0,2008.96,11.68,17.99,750,139.0,2500.61,1457.19,15.42,144929.24,491.65,19.6612,0.80814,1.24473
4425,MARTIGNETTI COMPANIES,24936,T-Vine Petite Sirah Napa,105.0,1015.35,9.67,14.99,750,595.0,8919.05,2833.11,66.62,144929.24,7903.7,88.61594,5.66667,8.78421
4692,KOBRAND CORPORATION,20422,M Chiarlo Barberesco Anni 09,26.0,469.56,18.06,27.99,750,112.0,3134.88,1567.44,12.46,9139.38,2665.32,85.02144,4.30769,6.67621
4692,KOBRAND CORPORATION,25186,Jadot Ch d Jacques Morgon 11,49.0,424.34,8.66,12.99,750,310.0,4026.9,2000.46,34.51,9139.38,3602.56,89.46237,6.32653,9.4898
6213,MHW LTD,1565,Galliano Tiki Gift Pack,4.0,57.56,14.39,18.99,375,4.0,75.96,75.96,1.56,9621.58,18.4,24.22328,1.0,1.31967
6213,MHW LTD,4703,Blue Chair Bay Coconut Rum,10.0,7.7,0.77,0.99,50,954.0,944.46,398.97,49.19,9621.58,936.76,99.18472,95.4,122.65714
6213,MHW LTD,4705,Blue Chair Bay Banana Rum,156.0,118.56,0.76,0.99,50,1163.0,1151.37,467.28,60.07,9621.58,1032.81,89.7027,7.45513,9.71129
6213,MHW LTD,5629,RumChata Liqueur,229.0,1607.58,7.02,8.99,300,531.0,4773.69,3029.63,168.35,9621.58,3166.11,66.32416,2.31878,2.96949
6355,NICHE W & S,5680,Barenjager Honey Liqueur,771.0,1125.66,1.46,1.99,50,598.0,1190.02,598.99,30.68,551.21,64.36,5.40831,0.77562,1.05718
6785,PALM BAY INTERNATIONAL INC,18357,Cavit Alta Luna Phases Rosso,28.0,185.36,6.62,10.99,750,31.0,309.69,199.8,3.45,13605.41,124.33,40.1466,1.10714,1.67075
6785,PALM BAY INTERNATIONAL INC,23998,Belguardo Serrata Toscana,40.0,270.0,6.75,9.99,750,211.0,2107.89,999.0,23.51,13605.41,1837.89,87.19098,5.275,7.807
7153,PINE STATE TRADING CO,2089,Bloom Gin,33.0,545.49,16.53,24.99,750,40.0,879.6,769.65,31.55,15884.82,334.11,37.98431,1.21212,1.6125
7153,PINE STATE TRADING CO,4723,Kinky Flame Whisky,41.0,31.57,0.77,0.99,50,662.0,655.38,200.97,34.38,15884.82,623.81,95.18295,16.14634,20.75958
7153,PINE STATE TRADING CO,5688,P & J Cold Soaked Peaches,8.0,62.4,7.8,13.99,375,18.0,235.82,235.82,7.02,15884.82,173.42,73.53914,2.25,3.77917
7153,PINE STATE TRADING CO,23949,Ch Valfontaine 10,104.0,674.96,6.49,9.99,750,71.0,709.29,299.7,7.91,15884.82,34.33,4.84005,0.68269,1.05086
7239,REMY COINTREAU USA INC,1874,Bruichladdich Octomore 61,7.0,592.27,84.61,109.99,750,10.0,1099.9,1099.9,7.9,16978.67,507.63,46.15238,1.42857,1.85709
7245,PROXIMO SPIRITS INC.,1039,Three Olives Vodka w/Flask,34.0,350.54,10.31,14.99,750,165.0,2155.35,1464.88,130.02,38994.78,1804.81,83.73628,4.85294,6.14866
7245,PROXIMO SPIRITS INC.,2859,Bushmills Irish Honey,117.0,1513.98,12.94,17.99,750,183.0,3678.17,3038.49,144.36,38994.78,2164.19,58.83877,1.5641,2.42947
